Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Y,source_file
2.24,0.58,1.95,1.45,3.79,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.18,0.52,1.58,3.47,3.24,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.09,0.52,1.35,2.98,3.06,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.17,0.61,1.86,4.2,2.18,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.6,0.89,1.37,2.94,3.2,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.97,0.7,1.67,3.52,2.14,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.16,0.91,1.75,2.45,3.74,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.76,0.95,1.01,2.79,2.49,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.27,0.76,1.94,3.37,2.66,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.07,0.74,1.79,3.47,2.92,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.54,0.79,1.57,2.64,2.46,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.67,0.67,1.88,2.91,2.88,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.35,0.67,1.28,2.93,2.76,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.19,0.68,1.25,1.9,3.98,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.1,0.86,1.18,3.97,2.89,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.2,0.71,1.9,3.57,2.62,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.78,0.53,1.43,2.93,3.33,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.05,0.99,1.92,2.81,3.23,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.64,0.68,1.86,2.07,2.75,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.95,0.72,1.55,1.41,3.37,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.39,0.98,1.47,2.64,2.53,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.69,0.92,1.0,3.11,2.28,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.73,0.61,1.1,3.56,3.0,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.12,0.73,1.78,2.44,2.94,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.56,0.51,1.2,2.89,2.83,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.85,0.77,1.82,2.06,3.5,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.87,0.98,1.18,2.94,3.02,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.15,0.89,1.05,2.38,3.54,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.62,0.66,1.14,3.54,3.04,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.37,0.71,1.53,3.0,3.39,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.46,0.95,1.27,3.73,2.59,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.21,0.8,1.62,3.03,2.34,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.01,0.97,1.97,3.82,2.23,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.43,0.69,1.67,3.91,2.3,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.03,0.53,1.9,3.51,3.04,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.88,0.56,1.22,2.61,3.72,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.25,0.57,1.59,3.96,2.63,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.32,0.88,1.09,3.08,3.63,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.94,0.7,1.49,2.03,3.84,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.28,0.59,1.62,2.81,3.7,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.41,0.93,1.98,2.34,2.33,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.27,0.82,1.26,3.09,2.56,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.07,0.9,1.3,1.91,3.83,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.73,0.62,1.58,1.46,3.61,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.47,0.55,1.88,2.28,2.82,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.81,0.86,1.8,1.1,3.42,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.66,0.92,1.51,3.63,2.29,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.44,0.8,1.32,2.1,3.34,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.67,0.94,1.12,3.07,2.2,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.92,0.63,1.49,2.75,3.22,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.7,0.73,1.41,2.47,2.69,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.72,0.82,1.71,2.29,3.46,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.55,0.64,1.31,4.13,2.37,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.31,0.6,1.73,3.82,2.55,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.99,0.74,1.53,2.73,2.0,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.53,0.51,1.56,2.26,3.13,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.68,0.94,1.42,2.27,3.68,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.41,0.97,1.4,3.84,2.38,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.81,0.96,1.64,2.31,3.28,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.36,0.87,1.92,2.4,2.44,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.3,0.84,1.33,1.96,3.56,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.51,0.75,1.03,3.66,2.05,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
1.49,0.65,1.16,3.14,3.55,0,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.49,0.6,1.79,3.04,2.08,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
2.76,0.78,1.05,2.25,3.16,1,(Gd1-3 Co0.5-1 Na1-2 OH2-4).csv
