Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Gd104,Gd42
2.33,0.66,0.86,4.1,2.05,1,0
1.3,0.54,0.95,4.58,2.62,0,0
1.63,0.69,0.96,4.46,2.25,0,0
1.28,0.54,0.89,5.15,2.15,0,0
1.06,0.62,0.82,5.18,2.32,0,0
1.23,0.73,0.64,4.82,2.58,0,0
1.12,0.87,0.73,5.22,2.06,0,0
2.5,0.81,0.61,3.97,2.12,1,0
2.57,0.61,0.71,3.91,2.2,1,0
2.18,0.6,0.64,3.89,2.7,0,0
2.95,0.82,0.79,3.34,2.1,1,0
2.07,0.6,0.54,4.58,2.22,1,0
1.74,0.78,0.98,3.91,2.59,0,1
1.43,0.51,0.58,5.46,2.02,0,0
2.37,0.5,0.85,3.88,2.41,1,0
2.44,0.53,0.76,3.32,2.95,0,0
1.25,0.55,0.89,4.88,2.43,0,0
1.76,0.95,0.52,3.98,2.79,0,0
2.3,0.77,0.92,3.41,2.61,0,0
2.82,0.9,0.63,3.52,2.13,0,0
1.86,0.92,0.88,4.09,2.26,0,1
2.26,0.75,0.5,3.78,2.71,0,0
1.41,0.96,0.75,4.71,2.16,0,1
2.88,0.87,0.56,3.2,2.49,0,0
1.54,0.95,0.88,3.86,2.76,0,0
2.86,0.99,0.86,3.1,2.19,1,0
1.2,0.7,0.58,5.03,2.48,0,0
1.2,0.93,0.82,4.66,2.39,0,0
2.02,1,0.8,4.17,2.02,0,0
1.97,0.57,0.74,3.88,2.85,1,0
2,0.86,0.75,3.96,2.43,0,0
2.78,0.89,1,2.59,2.73,1,0
2.48,0.71,0.97,2.89,2.96,1,0
2.28,0.88,0.68,3.69,2.46,1,0
1.69,0.79,0.79,4.56,2.18,0,0
1.58,0.73,0.65,4.8,2.24,0,0
2.03,0.69,0.55,3.98,2.75,1,0
2.65,0.83,0.61,3.81,2.1,1,0
2.42,0.56,0.52,3.95,2.56,1,0
2.92,0.98,0.62,3.07,2.41,1,0
1.37,0.62,0.76,4.88,2.36,0,0
1.81,0.53,0.55,4.84,2.27,1,0
1.6,0.98,0.91,4.23,2.29,0,0
2.61,0.56,0.94,3.35,2.54,1,0
1.18,0.94,0.69,4.42,2.78,0,0
1.83,0.77,0.67,3.92,2.82,0,0
1.72,0.8,0.95,3.85,2.69,0,0
1.29,0.85,0.68,4.89,2.3,0,0
1.88,0.76,0.67,4.24,2.45,1,0
1.95,0.82,0.77,4.12,2.34,0,0
1.48,0.96,0.78,4.24,2.54,0,0
2.59,0.97,0.72,3.07,2.66,0,0
2.9,0.86,0.99,2.88,2.37,1,0
1.68,0.99,0.69,4.63,2,0,1
2.19,0.68,0.66,3.53,2.94,1,0
1.6,0.8,0.7,4.15,2.74,0,0
2.77,0.85,0.72,3.34,2.31,0,0
2.34,0.81,0.78,3.99,2.08,0,1
2.14,0.63,0.93,3.57,2.73,1,0
2.85,0.66,0.77,3.68,2.04,0,0
1.46,0.74,0.93,3.94,2.92,0,0
1.08,0.97,0.53,4.95,2.46,0,0
2.4,0.74,0.87,3.12,2.88,0,0
2.53,0.79,0.99,3.34,2.35,0,1
1.72,0.92,0.6,4.11,2.65,0,0
1.15,0.51,0.71,5.12,2.51,0,0
2.75,0.72,0.63,3.27,2.63,0,0
1.92,0.89,0.81,3.55,2.83,0,0
2.09,0.91,0.83,3.52,2.65,0,0
1.91,0.65,0.98,4.08,2.39,0,1
2.16,0.72,0.53,3.74,2.85,0,0
1.03,0.71,0.81,4.88,2.56,0,0
2.42,0.84,0.91,3.73,2.09,0,0
1.88,0.64,0.65,3.96,2.87,0,0
2.56,0.93,0.51,3.37,2.63,0,0
2.96,0.9,0.83,3.16,2.15,0,1
2.67,0.59,0.59,3.64,2.51,0,0
2.73,0.67,0.85,3.06,2.68,0,0
2.62,0.59,0.66,4.08,2.05,0,0
1.33,0.84,0.74,4.81,2.28,0,0
1.45,0.64,0.8,4.18,2.92,0,1
1.66,0.91,0.84,3.69,2.9,0,0
1.06,0.94,0.97,4.13,2.9,0,0
2.71,0.58,0.56,3.66,2.47,0,0
2.21,0.7,0.51,4.24,2.34,0,1
1.35,0.76,0.7,4.89,2.3,0,0
1.5,0.88,0.57,4.24,2.8,0,0
2.23,0.75,0.92,3.57,2.53,0,0
2.99,0.58,0.6,2.85,2.98,0,0
1.13,0.83,0.59,4.45,2.99,0,0
1.39,0.63,0.94,4.82,2.22,0,1
2.83,0.52,0.96,2.98,2.71,0,0
1.55,0.67,0.9,4.1,2.78,0,0
1.79,0.55,0.84,4.63,2.19,0,1
2.49,0.57,0.62,3.37,2.94,0,0
2.26,0.65,0.87,4.09,2.13,0,1
2.11,0.52,0.57,3.82,2.97,0,0
1,0.78,0.73,4.66,2.82,0,0
2.69,0.61,0.54,3.3,2.86,0,0
2.06,0.68,0.9,3.76,2.6,0,0
